method,mod,nmi,k_found,time,graph
Louvain,0.4266224396094526,0.594228158548046,4,0.0009567737579345703,karate
Leiden,0.41978961209730437,0.5878497068250673,4,0.0015270709991455078,karate
Louvain,0.6045695626834571,0.8903166312052426,10,0.0023529529571533203,football
Leiden,0.6045695626834573,0.8903166312052426,10,0.0019190311431884766,football
Louvain,0.5266195669499848,0.5038348667035136,5,0.0020880699157714844,polbooks
Leiden,0.5269846411731738,0.5520728918454053,5,0.00202178955078125,polbooks
Louvain,0.5555480501185135,1.0,5,0.005197048187255859,lfr_n200_mu0.1
Leiden,0.5555480501185134,0.9999999999999999,5,0.004556894302368164,lfr_n200_mu0.1
Louvain,0.39789674071803993,0.9236651984326095,6,0.006360054016113281,lfr_n200_mu0.3
Leiden,0.39827981711970323,0.8984832880108938,6,0.0054891109466552734,lfr_n200_mu0.3
Louvain,0.4795798369984568,0.8868105403815191,11,0.019171953201293945,lfr_n500_mu0.3
Leiden,0.4829283010223764,0.9010374393051098,11,0.014540672302246094,lfr_n500_mu0.3
Louvain,0.41067192881859016,0.591523810194082,8,0.060769081115722656,email_eu_core
Leiden,0.41638373477888757,0.5861331074909468,8,0.040572166442871094,email_eu_core
