graph,strategy,mod_best,mod_mean,mod_std,nmi_best,nmi_mean,nmi_std,collapse_rate,mean_used,time_mean
email_eu_core,baseline,0.041634631791558824,0.038442775007208836,0.0029020157131196896,0.04549782561183105,0.0375516955326513,0.005637363268113435,0.3333333333333333,2.0,34.143584648768105
email_eu_core,collapse,0.0005360235477413042,-0.0018250449190952013,0.001991016962993388,0.18901045961513332,0.1831688362736622,0.004660991470525939,0.0,40.0,34.44609355926514
email_eu_core,ortho,0.0005360235477413042,-0.0018250449190952013,0.001991016962993388,0.18901045961513332,0.1831688362736622,0.004660991470525939,0.0,40.0,34.55027532577515
football,baseline,0.15685035221106583,0.06227655820464166,0.054494360375079695,0.2582687500762586,0.16422437913846805,0.06683270210417179,0.2,6.0,2.806403064727783
football,collapse,0.03831742373639125,0.0018293153506542537,0.020938249299646185,0.2620910281455034,0.21771708034123277,0.0395197255705634,0.0,11.0,3.894196557998657
football,ortho,0.11428696885586616,0.02878231040878836,0.04615166856927819,0.2620910281455034,0.22682143806055524,0.04098425420827008,0.2,9.4,4.028217029571533
karate,baseline,0.05722344034032351,0.017775154138790543,0.02095555587189893,0.16944637246155173,0.08875305339602999,0.05371017664095993,1.0,1.8,6.317774438858033
karate,collapse,0.05722344034032351,-0.013223140495867775,0.042575751747066466,0.08841241724654092,0.02859746389992343,0.031246504393267985,0.2,2.0,5.647587871551513
karate,ortho,0.05722344034032351,0.011478420569329687,0.027890661665988328,0.16944637246155173,0.07965454594460668,0.05398547859173287,0.6,2.0,6.380237150192261
lfr_n200_mu0.1,baseline,0.2793935689688585,0.072618737049239,0.10421371599315091,0.5227849971063353,0.14974545515281842,0.18773756079133733,0.2,3.8,6.230640983581543
lfr_n200_mu0.1,collapse,0.003194365766759609,-0.010466078323221167,0.011155952612882717,0.04611736836920939,0.03821695438735638,0.007112148859655877,0.0,5.0,4.865501737594604
lfr_n200_mu0.1,ortho,0.3361192998017322,0.07361165978443972,0.13248988260796243,0.5801454119200321,0.15201528245925666,0.21409888305154545,0.0,4.2,6.688428640365601
lfr_n200_mu0.3,baseline,0.19803540305298678,0.051366884535866145,0.07380286830925145,0.3746425722111728,0.10870468520904746,0.13365099775612632,0.0,4.2,5.707673406600952
lfr_n200_mu0.3,collapse,0.020297765475720497,0.0042414672090374346,0.014222748490101045,0.08351793927981274,0.062165206632952795,0.013843878548445638,0.0,6.0,8.16404161453247
