graph,config,mod_best,mod_mean,mod_std,mod_med,nmi_best,nmi_mean,collapse_rate,n_shots,cv
email_eu_core,baseline,0.0758538306931635,0.041592910371090266,0.021125043601016292,0.047301695817266204,0.078673564030817,0.044231237697149275,0.5,10,0.5079001063532104
email_eu_core,ortho,0.0013793338845811,-0.00140739972908414,0.002144618067776133,-0.00123373150202965,0.1893526440223058,0.18208435770537737,0.0,10,1.5238158878797958
football,baseline,0.4003563359404315,0.09751030553345268,0.13132850237143545,0.04483805210115785,0.4253789574184417,0.18616939613789835,0.2,20,1.3468166431534851
football,ortho,0.4003563359404315,0.057982098044277175,0.0990400130107673,0.0214673110341725,0.3592283827507259,0.21017086354512463,0.05,20,1.7081136480286874
karate,baseline,0.080470755795431,0.01825396825396824,0.02757560682186844,0.00263769419613575,0.2064866423762004,0.056302282626871224,0.85,20,1.5106636780675764
karate,ortho,0.1520961001480482,0.021728415884260038,0.044241474189974095,0.00758044264537765,0.2064866423762004,0.07204575299807596,0.65,20,2.0361113495633343
lfr_n200_mu0.1,baseline,0.3707458147612589,0.08564282360131782,0.13208401059264185,0.024858240410846548,0.6210404863530625,0.15434379400759007,0.1,20,1.5422659487211188
lfr_n200_mu0.1,ortho,0.3612107004964147,0.07698505351738943,0.13448420661355454,0.017905125892577603,0.5548479033241007,0.14634600150316698,0.0,20,1.7468872264039819
lfr_n200_mu0.3,baseline,0.2247413007689456,0.03249061557169714,0.05214374773356496,0.015634046169953,0.3911501987418617,0.07381788125262505,0.35,20,1.6048864207727673
lfr_n200_mu0.3,ortho,0.2030372863547053,0.013542883044321368,0.05270046243833177,0.0012158429832103,0.338424459859599,0.08004973885914338,0.0,20,3.891376914786949
lfr_n500_mu0.3,baseline,0.1381244574652777,0.015919367283950544,0.03001587457007303,0.009908733603395,0.1139275122694954,0.04902496849730556,0.35,20,1.8854941929968652
lfr_n500_mu0.3,ortho,0.2812451171875,0.012157576195987665,0.06391741995999362,-0.0025074749228395,0.3864067454581218,0.07385342590985416,0.0,20,5.257414712406913
polbooks,baseline,0.456874964649503,0.0400641965024861,0.09949853903037172,0.016932245309310402,0.5979222938719463,0.0659207321779941,0.5,20,2.48347771118279
polbooks,ortho,0.06346892498496,0.010128367295519903,0.02378946992773456,0.005434978224093834,0.0805069267438513,0.035421579087852054,0.0,20,2.348796132053524
