graph,criterion,seed,n,k_true,mod,nmi,k_found,time,n_decisions,n_splits,n_collapsed,max_depth,min_size_used,target_k_used,wall_time,error
karate,target_k,44,34,2,0.3998332115215232,0.6772430411026018,2,31.19062304496765,2,1,0,1,,2.0,31.675854921340942,
karate,target_k,43,34,2,0.3998332115215232,0.6772430411026017,2,31.366611003875732,2,1,0,1,,2.0,31.857113122940063,
karate,target_k,42,34,2,0.3998332115215232,0.6772430411026017,2,31.456700801849365,2,1,0,1,,2.0,31.935997247695923,
karate,target_k,45,34,2,0.3998332115215232,0.6772430411026017,2,30.052508115768433,2,1,0,1,,2.0,30.054062128067017,
karate,target_k,46,34,2,0.3998332115215232,0.6772430411026018,2,30.231993198394775,2,1,0,1,,2.0,30.23301100730896,
karate,min_size,42,34,2,0.4079102715466352,0.5642926817041091,3,59.22654700279236,3,0,0,2,6.0,,59.22785806655884,
karate,modularity_gain,45,34,2,0.440181031090122,0.4899672048193782,4,117.50639724731445,7,3,0,2,,,118.00603699684143,
karate,modularity_gain,44,34,2,0.440181031090122,0.48996720481937817,4,117.93335509300232,7,3,0,2,,,118.41347527503967,
karate,modularity_gain,42,34,2,0.440181031090122,0.4899672048193782,4,118.0264151096344,7,3,0,2,,,118.54499387741089,
karate,modularity_gain,43,34,2,0.440181031090122,0.48996720481937817,4,118.24686908721924,7,3,0,2,,,118.74023675918579,
karate,modularity_gain,46,34,2,0.440181031090122,0.48996720481937817,4,119.27626705169678,7,3,0,2,,,119.77120113372803,
karate,min_size,43,34,2,0.4079102715466352,0.5642926817041091,3,58.08427023887634,3,0,0,2,6.0,,58.08706212043762,
karate,min_size,44,34,2,0.4079102715466352,0.5642926817041092,3,58.334476947784424,3,0,0,2,6.0,,58.33636283874512,
karate,min_size,45,34,2,0.4079102715466352,0.5642926817041091,3,55.24286484718323,3,0,0,2,6.0,,55.24602484703064,
karate,min_size,46,34,2,0.4079102715466352,0.5642926817041092,3,52.25804591178894,3,0,0,2,6.0,,52.26081895828247,
dolphins,target_k,44,62,2,0.40273327795577696,0.5813765863368555,2,33.25628399848938,2,1,0,1,,2.0,33.772417068481445,
dolphins,target_k,43,62,2,0.40273327795577696,0.5813765863368555,2,33.37796998023987,2,1,0,1,,2.0,33.90420317649841,
dolphins,target_k,42,62,2,0.40273327795577696,0.5813765863368555,2,33.737284898757935,2,1,0,1,,2.0,34.26498889923096,
dolphins,target_k,45,62,2,0.40273327795577696,0.5813765863368555,2,30.635241985321045,2,1,0,1,,2.0,30.637052297592163,
dolphins,target_k,46,62,2,0.40273327795577696,0.5813765863368555,2,30.79819416999817,2,1,0,1,,2.0,30.799601078033447,
dolphins,min_size,42,62,2,0.49173292195720103,0.4445946333882761,5,88.20429801940918,5,0,0,3,8.0,,88.20550894737244,
dolphins,min_size,43,62,2,0.49173292195720103,0.44459463338827615,5,86.802090883255,5,0,0,3,8.0,,86.80521821975708,
dolphins,min_size,44,62,2,0.49173292195720103,0.4445946333882761,5,87.06868886947632,5,0,0,3,8.0,,87.07107710838318,
dolphins,modularity_gain,46,62,2,0.518788813733634,0.5264172893406132,5,160.8390519618988,9,4,1,3,,,161.37267804145813,
dolphins,modularity_gain,43,62,2,0.5189865907203037,0.5923332272515748,5,160.95936703681946,9,4,0,3,,,161.53191304206848,
dolphins,modularity_gain,45,62,2,0.5189865907203037,0.5923332272515748,5,161.17326998710632,9,4,0,3,,,161.70901131629944,
dolphins,modularity_gain,44,62,2,0.5189865907203037,0.5923332272515748,5,161.39694094657898,9,4,0,3,,,161.9468469619751,
dolphins,modularity_gain,42,62,2,0.5189865907203037,0.5923332272515748,5,165.2344410419464,9,4,0,3,,,165.89783477783203,
dolphins,min_size,45,62,2,0.49173292195720103,0.4445946333882761,5,79.64257502555847,5,0,0,3,8.0,,79.64607906341553,
dolphins,min_size,46,62,2,0.494106245797239,0.44527617285285637,5,75.06719303131104,5,0,0,3,8.0,,75.06899213790894,
polbooks_binary,target_k,44,92,2,0.4785953272898854,0.8701093745414379,2,34.531848192214966,2,1,0,1,,2.0,35.12374782562256,
polbooks_binary,target_k,42,92,2,0.4785953272898854,0.8701093745414379,2,34.64618110656738,2,1,0,1,,2.0,35.270204067230225,
polbooks_binary,target_k,43,92,2,0.4785953272898854,0.8701093745414381,2,34.724584102630615,2,1,0,1,,2.0,35.328338384628296,
polbooks_binary,target_k,45,92,2,0.4785953272898854,0.8701093745414379,2,32.577476978302,2,1,0,1,,2.0,32.58053708076477,
polbooks_binary,target_k,46,92,2,0.4785953272898854,0.8242866516178996,2,32.587640047073364,2,1,0,1,,2.0,32.58889603614807,
polbooks_binary,modularity_gain,42,92,2,0.4923467928736882,0.7157196792343995,3,124.22890996932983,5,2,0,2,,,124.91046500205994,
polbooks_binary,modularity_gain,44,92,2,0.4923467928736882,0.7157196792343995,3,124.45971584320068,5,2,0,2,,,125.12445592880249,
polbooks_binary,modularity_gain,45,92,2,0.4923467928736882,0.7157196792343995,3,124.47076034545898,5,2,0,2,,,125.13367915153503,
polbooks_binary,modularity_gain,43,92,2,0.4923467928736882,0.7157196792343995,3,125.23298001289368,5,2,0,2,,,125.8995110988617,
polbooks_binary,modularity_gain,46,92,2,0.5007041951442707,0.6386532405314539,4,152.52690982818604,7,3,0,3,,,153.17109727859497,
polbooks_binary,min_size,42,92,2,0.45774829134376166,0.5077931552155067,6,150.51793909072876,6,0,0,3,10.0,,150.51934266090393,
polbooks_binary,min_size,44,92,2,0.45774829134376166,0.5077931552155067,6,146.48132514953613,6,0,0,3,10.0,,146.4826397895813,
polbooks_binary,min_size,43,92,2,0.45774829134376166,0.5077931552155067,6,146.6037311553955,6,0,0,3,10.0,,146.60670375823975,
polbooks_binary,min_size,45,92,2,0.45774829134376166,0.5077931552155068,6,136.21880674362183,6,0,0,3,10.0,,136.2220859527588,
polbooks_binary,min_size,46,92,2,0.4302060396351054,0.4597474161191293,7,136.79271721839905,7,0,0,3,10.0,,136.79403805732727,
polbooks,target_k,44,105,3,0.4784966140651272,0.5275286216962379,3,79.32891798019409,3,2,0,1,,3.0,79.78141593933105,
polbooks,target_k,43,105,3,0.4721618050092297,0.51473584479614,3,79.41905307769775,3,2,0,1,,3.0,79.9058907032013,
polbooks,target_k,42,105,3,0.4721618050092297,0.51473584479614,3,80.40716814994812,3,2,0,1,,3.0,80.87852501869202,
polbooks,target_k,46,105,3,0.4721618050092297,0.51473584479614,3,77.11686301231384,3,2,0,1,,3.0,77.11829209327698,
polbooks,target_k,45,105,3,0.4721618050092297,0.51473584479614,3,77.21340608596802,3,2,0,1,,3.0,77.21649718284607,
polbooks,modularity_gain,46,105,3,0.5076228526179936,0.45679488298477944,5,208.75583291053772,9,4,0,3,,,209.23260688781738,
polbooks,modularity_gain,43,105,3,0.5076228526179936,0.4567948829847795,5,208.83028507232666,9,4,0,3,,,209.31260204315186,
polbooks,modularity_gain,45,105,3,0.5076228526179936,0.4567948829847795,5,211.4383361339569,9,4,0,3,,,211.90233397483826,
polbooks,modularity_gain,42,105,3,0.5076228526179936,0.4567948829847795,5,212.33128428459167,9,4,0,3,,,213.00380611419678,
polbooks,modularity_gain,44,105,3,0.5076588458512656,0.4290037971190443,6,247.56441402435303,11,5,0,3,,,248.03767204284668,
polbooks,min_size,42,105,3,0.5062782482607555,0.44849629315131107,6,176.5185980796814,6,0,0,3,11.0,,176.5201358795166,
polbooks,min_size,43,105,3,0.5062782482607555,0.44849629315131107,6,167.72374987602234,6,0,0,3,11.0,,167.72576522827148,
polbooks,min_size,44,105,3,0.5076588458512656,0.4290037971190443,6,180.94305515289307,6,0,0,3,11.0,,180.94450211524963,
polbooks,min_size,45,105,3,0.5062782482607555,0.44849629315131107,6,161.5621361732483,6,0,0,3,11.0,,161.56512260437012,
polbooks,min_size,46,105,3,0.5062782482607555,0.44849629315131095,6,161.53931307792664,6,0,0,3,11.0,,161.54079294204712,
football,target_k,42,115,12,0.5791563433918179,0.8943144700866158,12,253.30865907669067,12,11,0,3,,12.0,253.8018057346344,
football,target_k,44,115,12,0.5791563433918179,0.8943144700866158,12,253.5218801498413,12,11,0,3,,12.0,253.967191696167,
football,target_k,43,115,12,0.5791563433918179,0.8943144700866158,12,254.01175808906555,12,11,0,3,,12.0,254.50186610221863,
football,modularity_gain,43,115,12,0.5995758032195311,0.8810714003682801,10,353.4611780643463,19,9,3,4,,,353.998468875885,
football,modularity_gain,46,115,12,0.5995758032195311,0.8810714003682801,10,354.3689467906952,19,9,3,4,,,354.8622019290924,
football,modularity_gain,44,115,12,0.5995758032195311,0.8810714003682801,10,355.64022397994995,19,9,3,4,,,356.1484942436218,
football,modularity_gain,45,115,12,0.5995758032195311,0.8810714003682801,10,357.0586268901825,19,9,3,4,,,357.5581660270691,
football,modularity_gain,42,115,12,0.5995758032195311,0.8810714003682801,10,358.99174308776855,19,9,3,4,,,359.597284078598,
football,min_size,42,115,12,0.5954974997937562,0.8445827581704263,8,183.35539317131042,8,0,0,3,11.0,,183.35696601867676,
