graph,k,lr,alpha_ortho,epochs,shot,best_epoch,modularity,nmi,n_used,collapsed,time,error
karate,5,0.001,0.0,3000,45,30,0.034566443657352744,0.030768619845729324,3,False,6.882253170013428,
karate,5,0.001,0.0,3000,46,56,0.030209328910627588,0.124908486820125,3,True,6.924779176712036,
karate,5,0.001,0.0,3000,43,71,0.0805925676055546,0.17572703531560965,3,False,6.936646938323975,
karate,5,0.001,0.0,3000,42,67,0.12332040254118172,0.19549847935885067,4,True,6.950634002685547,
karate,5,0.001,0.0,3000,44,21,0.21438878581735724,0.31696752848955795,4,False,6.9802141189575195,
karate,5,0.001,0.1,3000,42,28,0.09730889601019471,0.19832381981918348,4,False,5.236156225204468,
karate,5,0.001,0.1,3000,44,21,0.21438878581735724,0.31696752848955795,4,False,5.249029159545898,
karate,5,0.001,0.1,3000,43,71,0.13970877607241244,0.2567149337616838,3,False,5.289891958236694,
karate,5,0.001,0.1,3000,45,17,0.04811566499878188,0.0026788638811800604,3,False,5.196444272994995,
karate,5,0.001,0.1,3000,46,11,-0.01614474991098368,0.1689391858866687,4,False,5.171881914138794,
karate,5,0.001,0.0,10000,42,67,0.12332040254118172,0.19549847935885067,4,True,18.210447072982788,
karate,5,0.001,0.0,10000,43,71,0.0805925676055546,0.17572703531560965,3,False,18.32026696205139,
karate,5,0.001,0.0,10000,44,21,0.21438878581735724,0.31696752848955795,4,False,18.421095848083496,
karate,5,0.001,0.0,10000,45,30,0.034566443657352744,0.030768619845729324,3,False,16.281153917312622,
karate,5,0.001,0.0,10000,46,56,0.030209328910627588,0.124908486820125,3,True,16.425338983535767,
karate,5,0.001,0.5,3000,42,15,0.03524109368265214,0.23924285924663077,5,False,5.209788084030151,
karate,5,0.001,0.5,3000,43,24,0.007758475290942821,0.07640151392147589,4,False,5.204914808273315,
karate,5,0.001,0.5,3000,44,6,0.12919547984483049,0.12884028089971947,4,False,5.226191759109497,
karate,5,0.001,0.5,3000,45,8,-0.0572984014542456,0.05651077824517335,5,False,5.166178941726685,
karate,5,0.001,0.1,10000,42,28,0.09730889601019471,0.19832381981918348,4,False,17.446102142333984,
karate,5,0.001,0.5,3000,46,6,-0.05642697850490059,0.07099413351855198,5,False,5.154412746429443,
karate,5,0.001,0.1,10000,43,71,0.13970877607241244,0.2567149337616838,3,False,17.403728008270264,
karate,5,0.001,0.1,10000,44,21,0.21438878581735724,0.31696752848955795,4,False,17.41445302963257,
karate,5,0.001,0.1,10000,45,17,0.04811566499878188,0.0026788638811800604,3,False,17.104608058929443,
