k,alpha,mod_best,mod_mean,mod_std,nmi_best,nmi_mean,nmi_std,collapse_rate,mean_used,time_mean
3,0.0,0.17899776990686078,0.06260190026423793,0.05897331870996072,0.3245278531386308,0.12702192322726655,0.11483044236580811,0.3,2.2,6.740252375602722
3,0.1,0.20283540413410542,0.07207604805007402,0.07206455417136988,0.41118040094190855,0.1709788028995502,0.12315775027131723,0.1,2.5,7.153241753578186
3,1.0,0.40362811791383213,0.06980097824253668,0.13847320990419504,0.8371694628777809,0.1850692412044254,0.23393866118170564,0.0,2.8,8.476087951660157
3,10.0,0.13160360562957968,-0.006605948164389715,0.08855624675970168,0.2207629309325718,0.08407871794922177,0.06967894721379782,0.0,2.9,7.4333308935165405
4,0.0,0.12575663874365176,0.037477745919304375,0.04202503919526717,0.1465258106737384,0.05357198068558523,0.05537164988990084,0.4,2.7,6.463579416275024
4,0.1,0.12575663874365176,0.021704053522235346,0.04905294616346369,0.1465258106737384,0.06480657693164003,0.038476145762562905,0.2,3.7,7.388679695129395
4,1.0,0.12575663874365176,-0.004589494199883807,0.06557877252794007,0.1465258106737384,0.06873466962594929,0.032058283370299416,0.0,3.8,6.895160055160522
4,10.0,0.21270216075410886,0.006125260021363915,0.09178459195950835,0.15052561351689464,0.07739253979230669,0.043399747313384605,0.0,3.8,10.338788056373597
5,0.0,0.40362811791383213,0.10734525215044695,0.16108948164639197,0.8371694628777809,0.22811318515704387,0.29452233258911836,0.5,2.3,9.51804461479187
5,0.1,0.26602762317048034,0.022328104795637262,0.0844245672115154,0.4005756601312451,0.14847779877747738,0.11221335637261962,0.0,4.4,8.445862245559692
5,1.0,0.26602762317048034,-0.01033620059594086,0.09944520577594924,0.4005756601312451,0.12215586018224914,0.10617596618203351,0.0,4.4,12.223880887031555
5,10.0,0.028429002454976485,-0.03983058788253594,0.04594188782966079,0.1617060531240945,0.09729698585040551,0.04829565956005705,0.0,4.6,7.988586378097534
6,0.0,0.3476602762317048,0.0585446299732014,0.09980807088897993,0.7323776321005694,0.1645127580295496,0.20180885320348763,0.5,3.1,8.172290086746216
6,0.1,0.14336313037611736,0.034277843368752475,0.05669438235425598,0.23776875813383866,0.12886389210285265,0.0683189426313057,0.2,4.0,12.47477433681488
6,1.0,0.04921197128989337,-0.02933696894735855,0.0493168816436978,0.23776875813383866,0.15060617525055484,0.06237498936859673,0.0,5.8,9.286526107788086
6,10.0,0.04921197128989337,-0.02933696894735855,0.0493168816436978,0.23776875813383866,0.15060617525055484,0.06237498936859673,0.0,5.8,8.866751885414123
